PC7,PC6,PC5,PC4,PC3,PC2,PC1
-1.12968,-0.00507,-0.07212,-0.08180,-0.37846,-0.61416,2.56605
0.06487,-0.42489,-0.04114,-0.67335,-1.03098,-0.66829,1.00409
0.28379,-0.33999,-0.17458,0.01721,0.28285,-0.65438,-0.67472
0.17102,-0.51302,0.13193,-0.42803,-0.51396,-0.13462,-1.07271
-0.52483,0.06456,-0.34868,-1.30515,0.14150,13.09287,-2.36963
0.31986,0.27592,0.38016,-0.39374,-0.29583,-0.59645,-1.83441
0.47114,0.00619,-0.00438,0.35813,0.35916,-0.39401,0.71577
-0.87847,-0.38725,0.21746,-1.96205,2.23795,0.50605,1.59313
-0.13652,-0.14038,0.17623,0.14294,-0.81522,-0.76415,0.52345
-0.44791,-0.27890,0.06976,-0.54101,-0.46232,-0.17464,0.64828
0.06971,-0.00445,0.14317,0.68866,0.07651,-0.37480,-0.99681
-0.60705,0.14028,-0.08540,0.45922,2.21786,-0.51321,2.10687
0.19557,-0.67152,-1.62234,0.51684,0.01814,1.17290,-1.00786
1.18231,0.19946,0.04761,-0.17821,-0.54870,-1.07031,-2.55368
-0.38312,-0.35878,-1.45232,0.10677,-0.72276,2.70978,-0.81553
0.12690,1.55229,-0.66500,-0.04150,-0.47392,-0.10294,0.98103
0.19059,1.28250,-0.02746,1.20342,0.43712,-0.09743,1.77626
