ETIQUETA;N;E;PC9;PC8;PC7;PC6;PC5;PC4;PC3;PC2;PC1
1;871600.5225;199250.997;-0.16321;-0.52607;0.22461;0.17075;0.59423;-1.14985;0.80042;-0.35924;-1.53476
1;909238.6537;218968.5342;-0.40526;-0.4892;-0.86754;0.44873;-0.29677;-0.87153;-0.94334;0.32808;1.97128
1;881897.4724;268255.202;-1.08144;-0.78506;-0.69274;-0.15581;-0.49751;-1.45194;-0.85818;-0.54737;-3.06959
1;888206.7582;186245.9849;-0.55618;-0.63497;-1.03979;-0.12803;-0.16943;-0.51744;-0.32263;-0.16343;0.51458
1;934162.725;188412.5645;-0.31862;-0.55879;0.47112;0.32153;1.13781;-0.3238;-0.41361;0.2154;1.22744
1;894602.565;233207.5725;-0.13085;0.04467;0.09009;-0.96614;-1.19381;-0.19454;-0.906;1.57049;0.61789
1;855593.1716;250725.1595;0.76654;0.29328;-0.3475;1.21586;1.11957;-1.47205;-0.49094;1.16269;0.91752
1;864876.3634;258939.501;-0.20141;0.34881;0.10431;0.42754;-0.04397;-0.57351;-0.61269;0.46255;-1.24944
1;860778.5522;180248.0994;0.61974;0.556;0.27944;-1.79561;0.04496;-2.44012;1.8956;-1.63586;0.60293
1;942904.2233;219274.8659;-0.00338;0.47117;0.54915;-0.49681;0.33807;0.29947;-1.15708;0.16082;0.75719
1;924296.4569;163301.1659;0.02975;0.34853;-0.28234;-0.98486;0.08753;-0.75932;-0.09407;0.86679;1.51042
1;878037.474;290402.9694;0.31958;0.46758;0.89268;0.32953;-0.33529;-0.13487;-1.04241;0.55036;-1.4553
1;866839.9446;260238.939;-0.42589;0.28776;0.26481;-0.02005;-0.12648;-0.54532;-0.58559;0.47094;-0.83547
1;882600.9619;272679.1068;-0.99672;-0.812;0.05966;0.44471;-0.36263;-1.26169;-0.15044;-0.64217;-3.49285
1;915180.7525;214567.2468;-0.1205;-1.0096;-0.59805;0.26784;1.48268;-0.51849;-0.28304;0.70728;2.5595
1;921588.5428;204499.109;-0.21416;0.30512;-0.44054;0.53914;0.37224;-0.00259;-0.07859;0.35581;2.90464
1;945704.8567;222860.5199;0.39724;0.58375;0.41756;-0.64182;-0.47466;0.26297;-0.43805;-0.06919;1.3077
1;924334.2784;160121.5371;-0.19114;0.21399;0.31769;-0.48224;-0.87668;-0.53882;-0.09911;-0.26015;1.40053
1;973201.7492;198785.8532;0.61825;-0.47002;0.74003;-1.16307;-0.0378;-0.75216;0.12009;-0.47339;1.02154
1;931382.6524;169742.8781;-0.48369;0.42863;-0.13325;0.74602;1.17809;0.02449;-0.63013;0.09989;2.82325
1;879159.8024;181828.3958;0.03868;0.39697;0.06731;-0.71556;0.46863;-1.28792;0.3334;-1.08717;-0.19608
